"cohortId","cohortName","atlasId","description","createdDate","modifiedDate","librarian","cohortNameFormatted","lastModifiedBy","cohortNameLong","status","addedVersion","logicDescription","hashTag","contributors","contributorOrcIds","contributorOrganizations","peerReviewers","peerReviewerOrcIds","recommendedReferentConceptIds","ohdsiForumPost","replaces","notes","cohortNameAtlas","recommendedEraPersistenceDurations","recommendedEraCollapseDurations","recommendSubsetOperators","id","name"
37,"[P] Hepatitis C infection, carrier status or antibody positivity",37,"cohortNameLong : Hepatitis C infection, carrier status or antibody positivity;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Earliest diagnosis of Hepatitis C;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 197494, 198964;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Hepatitis C infection, carrier status or antibody positivity",,"Hepatitis C infection, carrier status or antibody positivity","Pending peer review","","Earliest diagnosis of Hepatitis C","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","197494, 198964","","",,,,,,37,37
38,"[P] Heart disease",38,"cohortNameLong : Heart disease;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Earliest of any Heart disease or arteriosclerosis of coronary artery bypass graft;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 313217, 44784217;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Heart disease",,"Heart disease","Pending peer review","","Earliest of any Heart disease or arteriosclerosis of coronary artery bypass graft","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","313217, 44784217","","",,,,,,38,38
39,"[W] End stage renal disease (FP)",39,"cohortNameLong : End stage renal disease (FP);
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 193782;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","End stage renal disease (FP)",,"End stage renal disease (FP)","Withdrawn","","Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future","","","","","","","193782","","",,,,,,39,39
40,"[P] Diabetes Mellitus Type 2 or history of diabetes",40,"cohortNameLong : Diabetes Mellitus Type 2 or history of diabetes;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Earliest of any Type 2 Diabetes Mellitus or History of Diabetes;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 201820, 201826;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Diabetes Mellitus Type 2 or history of diabetes",,"Diabetes Mellitus Type 2 or history of diabetes","Pending peer review","","Earliest of any Type 2 Diabetes Mellitus or History of Diabetes","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","201820, 201826","","",,,,,,40,40
41,"[W] Chronic kidney disease broad (FP)",41,"cohortNameLong : Chronic kidney disease broad (FP);
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 192359, 193782;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Chronic kidney disease broad (FP)",,"Chronic kidney disease broad (FP)","Withdrawn","","Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future","","","","","","","192359, 193782","","",,,,,,41,41
42,"[W] End stage renal disease broad (FP)",42,"cohortNameLong : End stage renal disease broad (FP);
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 193782;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","End stage renal disease broad (FP)",,"End stage renal disease broad (FP)","Withdrawn","","Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future","","","","","","","193782","","",,,,,,42,42
43,"[P] Respiratory or pulmonary tuberculosis",43,"cohortNameLong : Respiratory or pulmonary tuberculosis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Earliest occurrence of respiratory or pulmonary tuberculosis;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 253954, 434557;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Respiratory or pulmonary tuberculosis",,"Respiratory or pulmonary tuberculosis","Pending peer review","","Earliest occurrence of respiratory or pulmonary tuberculosis","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","253954, 434557","","",,,,,,43,43
44,"[P][R] COVID-19 ",44,"cohortNameLong : COVID-19;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of COVID-19. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 37311061;
ohdsiForumPost : ;
replaces : ;
","2021-09-24","2023-09-19","rao@ohdsi.org","COVID-19",,"COVID-19","Pending peer review","","all events of COVID-19. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","37311061","","",,,,,,44,44
45,"[W] COVID-19 diagnosis with SARS-Cov-2 test (-3d to 3d)",45,"cohortNameLong : COVID-19 diagnosis with SARS-Cov-2 test (-3d to 3d);
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 439676, 37311061;
ohdsiForumPost : ;
replaces : ;
","2021-09-24","2023-09-19","rao@ohdsi.org","COVID-19 diagnosis with SARS-Cov-2 test (-3d to 3d)",,"COVID-19 diagnosis with SARS-Cov-2 test (-3d to 3d)","Withdrawn","","Withdrawn by contributor before peer review","","","","","","","439676, 37311061","","",,,,,,45,45
46,"[W] COVID-19 diagnosis and SARS-CoV-2 test (1pos) within 3d",46,"cohortNameLong : COVID-19 diagnosis and SARS-CoV-2 test (1pos) within 3d;
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 439676, 37311061;
ohdsiForumPost : ;
replaces : ;
","2021-09-24","2023-09-19","rao@ohdsi.org","COVID-19 diagnosis and SARS-CoV-2 test (1pos) within 3d",,"COVID-19 diagnosis and SARS-CoV-2 test (1pos) within 3d","Withdrawn","","Withdrawn by contributor before peer review","","","","","","","439676, 37311061","","",,,,,,46,46
47,"[W] COVID-19 diagnosis and SARS-CoV-2 test (1pos) (0neg) within 3d",47,"cohortNameLong : COVID-19 diagnosis and SARS-CoV-2 test (1pos) (0neg) within 3d;
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 439676, 37311061;
ohdsiForumPost : ;
replaces : ;
","2021-09-24","2023-09-19","rao@ohdsi.org","COVID-19 diagnosis and SARS-CoV-2 test (1pos) (0neg) within 3d",,"COVID-19 diagnosis and SARS-CoV-2 test (1pos) (0neg) within 3d","Withdrawn","","Withdrawn by contributor before peer review","","","","","","","439676, 37311061","","",,,,,,47,47
48,"[W] COVID-19 diagnosis and SARS-CoV-2 test (0pos upto 3d, 1neg within 3d)",48,"cohortNameLong : COVID-19 diagnosis and SARS-CoV-2 test (0pos upto 3d, 1neg within 3d);
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 439676, 37311061;
ohdsiForumPost : ;
replaces : ;
","2021-09-24","2023-09-19","rao@ohdsi.org","COVID-19 diagnosis and SARS-CoV-2 test (0pos upto 3d, 1neg within 3d)",,"COVID-19 diagnosis and SARS-CoV-2 test (0pos upto 3d, 1neg within 3d)","Withdrawn","","Withdrawn by contributor before peer review","","","","","","","439676, 37311061","","",,,,,,48,48
51,"[W] SARS-CoV-2 test positive result",51,"cohortNameLong : SARS-CoV-2 test positive result;
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2021-09-24","2023-09-19","rao@ohdsi.org","SARS-CoV-2 test positive result",,"SARS-CoV-2 test positive result","Withdrawn","","Withdrawn by contributor before peer review","","","","","","","","","",,,,,,51,51
52,"[W] SARS-CoV-2 test negative result",52,"cohortNameLong : SARS-CoV-2 test negative result;
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2021-09-24","2023-09-19","rao@ohdsi.org","SARS-CoV-2 test negative result",,"SARS-CoV-2 test negative result","Withdrawn","","Withdrawn by contributor before peer review","","","","","","","","","",,,,,,52,52
53,"[W] SARS-CoV-2 test positive or negative result - keep persons with positive",53,"cohortNameLong : SARS-CoV-2 test positive or negative result - keep persons with positive;
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2021-09-24","2023-09-19","rao@ohdsi.org","SARS-CoV-2 test positive or negative result - keep persons with positive",,"SARS-CoV-2 test positive or negative result - keep persons with positive","Withdrawn","","Withdrawn by contributor before peer review","","","","","","","","","",,,,,,53,53
54,"[P] Febrile seizure",54,"cohortNameLong : Febrile seizure;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Febrile seizures;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 377091, 4196708;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-24","2023-09-25","rao@ohdsi.org","Febrile seizure",,"Febrile seizure","Pending peer review","","All events of Febrile seizures","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","377091, 4196708","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,54,54
56,"[P] SARS-CoV-2 test (1pos) or COVID-19 diagnosis with (0 neg -3d to 3d)",56,"cohortNameLong : SARS-CoV-2 test (1pos) or COVID-19 diagnosis with (0 neg -3d to 3d);
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Covid Diagnosis without a negative test result or a SARS-Cov-2 test positive test;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 439676, 37311061;
ohdsiForumPost : ;
replaces : ;
","2021-09-30","2023-09-19","rao@ohdsi.org","SARS-CoV-2 test (1pos) or COVID-19 diagnosis with (0 neg -3d to 3d)",,"SARS-CoV-2 test (1pos) or COVID-19 diagnosis with (0 neg -3d to 3d)","Pending peer review","","All events of Covid Diagnosis without a negative test result or a SARS-Cov-2 test positive test","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","439676, 37311061","","",,,,,,56,56
57,"[P][R] Bleeding ",57,"cohortNameLong : Bleeding;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Bleeding. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 192671, 437312;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-30","2023-09-19","rao@ohdsi.org","Bleeding",,"Bleeding","Pending peer review","","all events of Bleeding. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","192671, 437312","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,57,57
59,"[W] COVID-19 diagnosis with no SARS-CoV-2 test",59,"cohortNameLong : COVID-19 diagnosis with no SARS-CoV-2 test;
librarian : rao@ohdsi.org;
status : ;
addedVersion : ;
logicDescription : ;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 439676, 37311061;
ohdsiForumPost : ;
replaces : ;
","2021-10-05","2023-09-19","rao@ohdsi.org","COVID-19 diagnosis with no SARS-CoV-2 test",,"COVID-19 diagnosis with no SARS-CoV-2 test","","","","","","","","","","439676, 37311061","","",,,,,,59,59
60,"[W] SARS-CoV-2 test positive and negative result",60,"cohortNameLong : SARS-CoV-2 test positive and negative result;
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2021-10-05","2023-09-19","rao@ohdsi.org","SARS-CoV-2 test positive and negative result",,"SARS-CoV-2 test positive and negative result","Withdrawn","","Withdrawn by contributor before peer review","","","","","","","","","",,,,,,60,60
61,"[P] Bradycardia or heart block with inpatient admission",61,"cohortNameLong : Bradycardia or heart block with inpatient admission;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Bradycardia or heart block or first occurrence of pace maker limited to inpatient visit;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 317302, 320425;
ohdsiForumPost : ;
replaces : ;
","2021-10-05","2023-09-25","rao@ohdsi.org","Bradycardia or heart block with inpatient admission",,"Bradycardia or heart block with inpatient admission","Pending peer review","","All events of Bradycardia or heart block or first occurrence of pace maker limited to inpatient visit","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","317302, 320425","","",,,,,,61,61
62,"[P][R] Seizure related finding ",62,"cohortNameLong : Seizure related finding;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Seizure related finding. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 377091, 4196708;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-10-05","2023-09-19","rao@ohdsi.org","Seizure related finding",,"Seizure related finding","Pending peer review","","all events of Seizure related finding. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","377091, 4196708","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,62,62
